iter	Passed	Remaining
0	0	722
1	1	655
2	2	707
3	2	685
4	3	670
5	3	657
6	4	644
7	5	635
8	5	626
9	6	624
10	6	618
11	7	615
12	8	620
13	8	615
14	9	611
15	9	611
16	10	611
17	11	608
18	11	606
19	12	604
20	12	601
21	13	598
22	14	597
23	14	595
24	15	593
25	15	589
26	16	589
27	16	589
28	17	587
29	18	586
30	18	584
31	19	584
32	19	584
33	20	585
34	21	583
35	21	583
36	22	581
37	22	581
38	23	580
39	24	579
40	24	578
41	25	577
42	25	576
43	26	576
44	27	576
45	27	575
46	28	574
47	28	573
48	29	572
49	30	571
50	30	570
51	31	569
52	31	568
53	32	567
54	33	567
55	33	566
56	34	565
57	34	564
58	35	564
59	35	563
60	36	562
61	37	561
62	37	560
63	38	560
64	38	559
65	39	560
66	40	559
67	40	558
68	41	558
69	41	557
70	42	556
71	43	555
72	43	554
73	44	554
74	44	553
75	45	553
76	46	553
77	46	552
78	47	551
79	47	550
80	48	549
81	48	548
82	49	544
83	49	543
84	50	542
85	50	541
86	51	542
87	52	542
88	52	541
89	53	540
90	54	539
91	54	538
92	55	538
93	55	537
94	56	536
95	56	536
96	57	535
97	58	535
98	58	534
99	59	533
100	59	533
101	60	532
102	61	531
103	61	530
104	62	530
105	62	529
106	63	529
107	64	528
108	64	528
109	65	527
110	65	526
111	66	525
112	66	524
113	67	523
114	68	523
115	68	522
116	68	520
117	69	519
118	70	518
119	70	517
120	71	517
121	71	515
122	72	514
123	72	514
124	73	513
125	73	512
126	74	510
127	74	509
128	75	508
129	75	507
130	76	507
131	77	506
132	77	505
133	78	504
134	78	503
135	79	503
136	79	502
137	80	501
138	80	500
139	81	499
140	81	498
141	82	496
142	82	495
143	83	494
144	83	494
145	84	493
146	84	492
147	85	491
148	85	490
149	86	489
150	86	488
151	87	487
152	87	487
153	88	486
154	89	485
155	89	485
156	90	484
157	90	483
158	91	482
159	91	481
160	92	480
161	92	479
162	93	478
163	93	477
164	94	476
165	94	476
166	95	475
167	95	474
168	96	474
169	96	473
170	97	472
171	98	471
172	98	471
173	99	470
174	99	469
175	100	469
176	100	468
177	101	468
178	101	467
179	102	467
180	103	466
181	103	466
182	104	465
183	104	465
184	105	464
185	106	464
186	106	463
187	107	463
188	107	462
189	108	462
190	108	461
191	109	460
192	109	459
193	110	458
194	110	458
195	111	457
196	112	456
197	112	455
198	113	455
199	113	454
200	114	453
201	114	453
202	115	452
203	115	451
204	116	450
205	116	450
206	117	449
207	117	448
208	118	447
209	118	447
210	119	446
211	119	445
212	120	445
213	120	444
214	121	443
215	122	442
216	122	442
217	123	441
218	123	440
219	124	439
220	124	439
221	125	438
222	125	437
223	126	437
224	126	436
225	127	436
226	128	436
227	128	435
228	129	435
229	129	434
230	130	433
231	130	433
232	131	432
233	131	431
234	132	431
235	133	430
236	133	430
237	134	429
238	134	428
239	135	428
240	135	427
241	136	426
242	136	425
243	137	425
244	137	424
245	138	423
246	138	423
247	139	422
248	139	421
249	140	421
250	140	420
251	141	419
252	141	419
253	142	418
254	143	417
255	143	417
256	144	416
257	144	416
258	145	415
259	145	415
260	146	414
261	146	413
262	147	413
263	147	412
264	148	411
265	148	410
266	149	410
267	149	409
268	150	408
269	151	408
270	151	407
271	152	406
272	152	406
273	153	405
274	153	404
275	154	404
276	154	403
277	155	402
278	155	402
279	156	401
280	156	401
281	157	400
282	157	399
283	158	399
284	158	398
285	159	397
286	159	397
287	160	396
288	160	396
289	161	395
290	161	394
291	162	393
292	163	393
293	163	392
294	164	392
295	164	391
296	165	390
297	165	390
298	166	389
299	166	389
300	167	388
301	167	387
302	168	387
303	168	386
304	169	386
305	170	385
306	170	384
307	171	384
308	171	383
309	172	383
310	172	382
311	173	381
312	173	381
313	174	380
314	174	379
315	175	379
316	175	378
317	176	378
318	176	377
319	177	376
320	177	376
321	178	375
322	178	375
323	179	374
324	179	373
325	180	373
326	181	372
327	181	371
328	182	371
329	182	370
330	183	370
331	183	369
332	184	368
333	184	368
334	185	367
335	185	367
336	186	366
337	186	365
338	187	365
339	187	364
340	188	364
341	188	363
342	189	362
343	189	362
344	190	361
345	191	361
346	191	360
347	192	359
348	192	359
349	193	358
350	193	358
351	194	357
352	194	357
353	195	356
354	195	355
355	196	355
356	196	354
357	197	354
358	197	353
359	198	352
360	199	352
361	199	351
362	200	351
363	200	350
364	201	350
365	201	349
366	202	348
367	202	348
368	203	347
369	203	347
370	204	346
371	204	345
372	205	345
373	206	344
374	206	344
375	207	343
376	207	343
377	208	342
378	208	341
379	209	341
380	209	340
381	210	340
382	210	339
383	211	338
384	211	338
385	212	337
386	212	337
387	213	336
388	214	336
389	214	335
390	215	334
391	215	334
392	216	333
393	216	333
394	217	332
395	217	332
396	218	331
397	218	330
398	219	330
399	219	329
400	220	329
401	220	328
402	221	328
403	221	327
404	222	326
405	223	326
406	223	325
407	224	325
408	224	324
409	225	323
410	225	323
411	226	322
412	226	322
413	227	321
414	227	321
415	228	320
416	228	319
417	229	319
418	229	318
419	230	318
420	230	317
421	231	316
422	231	316
423	232	315
424	233	315
425	233	314
426	234	314
427	234	313
428	235	312
429	235	312
430	236	311
431	236	311
432	237	310
433	237	310
434	238	309
435	238	308
436	239	308
437	239	307
438	240	307
439	240	306
440	241	305
441	241	305
442	242	304
443	242	304
444	243	303
445	244	303
446	244	302
447	245	302
448	245	301
449	246	300
450	246	300
451	247	299
452	247	299
453	248	298
454	248	298
455	249	297
456	249	296
457	250	296
458	251	295
459	251	295
460	252	294
461	252	294
462	253	293
463	253	292
464	254	292
465	254	291
466	255	291
467	255	290
468	256	290
469	256	289
470	257	289
471	257	288
472	258	287
473	258	287
474	259	286
475	259	286
476	260	285
477	261	285
478	261	284
479	262	283
480	262	283
481	263	282
482	263	282
483	264	281
484	264	281
485	265	280
486	265	280
487	266	279
488	266	278
489	267	278
490	267	277
491	268	277
492	269	276
493	269	276
494	270	275
495	270	275
496	271	274
497	271	273
498	272	273
499	272	272
500	273	272
501	273	271
502	274	271
503	275	270
504	275	270
505	276	269
506	276	269
507	277	268
508	277	267
509	278	267
510	278	266
511	279	266
512	279	265
513	280	265
514	280	264
515	281	263
516	281	263
517	282	262
518	282	262
519	283	261
520	284	261
521	284	260
522	285	259
523	285	259
524	286	258
525	286	258
526	287	257
527	287	257
528	288	256
529	288	256
530	289	255
531	289	254
532	290	254
533	290	253
534	291	253
535	291	252
536	292	252
537	292	251
538	293	250
539	293	250
540	294	249
541	294	249
542	295	248
543	295	248
544	296	247
545	297	246
546	297	246
547	298	245
548	298	245
549	299	244
550	299	244
551	300	243
552	300	243
553	301	242
554	301	242
555	302	241
556	303	240
557	303	240
558	304	239
559	304	239
560	305	238
561	305	238
562	306	237
563	306	237
564	307	236
565	307	236
566	308	235
567	308	234
568	309	234
569	309	233
570	310	233
571	311	232
572	311	232
573	312	232
574	313	231
575	313	231
576	314	230
577	315	230
578	315	229
579	316	228
580	316	228
581	317	227
582	317	227
583	318	226
584	318	226
585	319	225
586	319	225
587	320	224
588	321	224
589	321	223
590	322	222
591	322	222
592	323	221
593	323	221
594	324	220
595	324	220
596	325	219
597	326	219
598	326	218
599	327	218
600	327	217
601	328	217
602	328	216
603	329	215
604	329	215
605	330	214
606	331	214
607	331	213
608	332	213
609	333	212
610	333	212
611	334	211
612	334	211
613	335	210
614	335	210
615	336	209
616	336	209
617	337	208
618	337	208
619	338	207
620	339	206
621	339	206
622	340	205
623	340	205
624	341	204
625	341	204
626	342	203
627	342	203
628	343	202
629	343	202
630	344	201
631	345	200
632	345	200
633	346	199
634	346	199
635	347	198
636	347	198
637	348	197
638	348	197
639	349	196
640	349	195
641	350	195
642	351	194
643	351	194
644	352	193
645	352	193
646	353	192
647	353	192
648	354	191
649	354	191
650	355	190
651	355	189
652	356	189
653	357	188
654	357	188
655	358	187
656	358	187
657	359	186
658	359	186
659	360	185
660	360	185
661	361	184
662	361	183
663	363	183
664	363	183
665	364	182
666	364	182
667	365	181
668	365	180
669	366	180
670	366	179
